Street	PostalCode	Longitude	Latitude	Description
Köllnischer Park, Rungestr.	10179	13,41357257	52,51270771	Wall CT, Köllnischer Park, Rungestr.
Dürerplatz	12157	13,34150163	52,46954341	Wall CT, Dürerplatz
Priesterweg	12157	13,355711	52,459251	Wall CT, Priesterweg
Marienfelder Allee	12277	13,36315439	52,41349844	Wall CT, Marienfelder Allee
Friedrichstr.	10969	13,391234	52,501269	Wall CT, Friedrichstr.
Im Domstift	12309	13,41016173	52,38777878	Wall CT, Im Domstift
Nöldnerplatz, Archibaldweg	10317	13,48398	52,50302	Wall CT, Nöldnerplatz, Archibaldweg
Marzahner Promenade (Fußgängerzone)	12679	13,549245	52,544367	Wall CT, Marzahner Promenade (Fußgängerzone)
Waldstr.	10551	13,33060649	52,52741489	Wall CT, Waldstr.
Hugenottenplatz, Schweizer Tal	13127	13,42056481	52,60714453	Wall CT, Hugenottenplatz, Schweizer Tal
Roseneck, Hundekehlestr.	14199	13,28197635	52,47694105	Wall CT, Roseneck, Hundekehlestr.
Wilhelminenhofstr.	12459	13,52667175	52,45859286	Wall CT, Wilhelminenhofstr.
Bundesallee, Friedrich-Wilhelm-Platz	12161	13,32793177	52,47256281	Wall CT, Bundesallee, Friedrich-Wilhelm-Platz
Achillesstr.	13125	13,48851	52,617635	Wall CT, Achillesstr.
S-Bhf. Wilhelmshagen, Schönblicker Str.	12589	13,72100464	52,43908174	Wall CT, S-Bhf. Wilhelmshagen, Schönblicker Str.
Eberbacher Str.	14197	13,30926853	52,47332458	Wall CT, Eberbacher Str.
Weitlingstr.	10317	13,4993597	52,51063188	Wall CT, Weitlingstr.
Boxhagener Platz, Gärtnerstr.	10245	13,46065563	52,51069716	Toilette Grünberger Str.
Breitenbachplatz	14195	13,30866482	52,46723679	Wall CT, Breitenbachplatz
